S,E,I,T,Zr,Zo,R
99999,1,0,0,0,0,0
97902,1000,0,0,0,0,999
95858,1824,120,20,0,0,1978
93870,2502,288,90,2,9,2937
91936,3053,465,213,7,30,3890
90053,3500,631,374,17,59,4854
88221,3858,779,558,32,92,5839
86439,4145,904,751,51,127,6852
84707,4369,1010,941,73,164,7894
83022,4541,1096,1123,97,199,8967
81385,4670,1166,1289,121,234,10065
79797,4761,1221,1439,147,266,11184
78255,4822,1264,1571,172,296,12320
76758,4859,1294,1685,198,322,13469
75305,4875,1317,1780,222,346,14625
73895,4875,1332,1858,246,366,15782
72529,4860,1341,1922,268,384,16935
71203,4834,1343,1973,288,400,18082
69917,4799,1341,2011,307,413,19219
68672,4758,1335,2036,324,425,20340
67466,4709,1327,2052,340,434,21445
66298,4654,1318,2060,353,443,22531
65167,4597,1306,2062,365,450,23594
64070,4539,1292,2058,376,455,24635
63008,4478,1277,2050,384,460,25652
61978,4417,1261,2038,392,462,26646
60983,4353,1245,2023,399,463,27614
60020,4289,1229,2005,404,464,28555
59085,4228,1211,1984,408,464,29472
58181,4165,1194,1963,411,463,30364
57306,4103,1176,1942,413,462,31228
56458,4041,1158,1919,415,460,32068
55638,3981,1140,1894,416,457,32882
54843,3924,1123,1868,416,454,33671
54074,3867,1107,1841,415,451,34435
53330,3810,1091,1815,414,448,35173
52609,3754,1075,1790,412,444,35888
51910,3700,1059,1764,410,440,36580
51234,3646,1044,1738,408,435,37249
50580,3596,1029,1712,405,431,37893
49947,3547,1014,1686,402,427,38515
49335,3499,999,1661,399,423,39114
48742,3454,988,1637,396,417,39692
48167,3408,975,1616,392,413,40251
47611,3363,962,1594,389,408,40791
47071,3320,950,1573,385,403,41312
46550,3278,937,1552,382,399,41813
46045,3238,926,1531,377,395,42296
45555,3199,914,1511,373,391,42762
45081,3162,902,1491,370,386,43210
44623,3124,891,1473,366,382,43641
44178,3088,880,1455,362,377,44058
43748,3053,870,1437,357,373,44458
43331,3018,860,1420,353,368,44845
42927,2984,851,1402,350,362,45218
42536,2954,841,1385,346,359,45574
42156,2924,832,1369,342,355,45917
41789,2895,823,1353,337,352,46247
41434,2867,815,1337,333,347,46564
41089,2839,807,1322,331,343,46868
40755,2812,798,1309,328,340,47160
40431,2785,791,1296,324,336,47442
40117,2760,783,1283,321,332,47713
39812,2735,776,1271,317,330,47972
39516,2711,768,1259,314,328,48222
39229,2687,761,1247,311,325,48462
38951,2665,754,1235,309,321,48692
38682,2644,747,1223,306,319,48912
38422,2623,742,1211,303,316,49122
38169,2603,736,1200,300,313,49324
37924,2582,731,1189,297,310,49518
37686,2564,724,1179,294,308,49702
37456,2545,719,1169,291,305,49878
37232,2527,713,1159,289,302,50048
37014,2509,707,1150,287,300,50209
36802,2491,702,1141,285,297,50364
36596,2477,696,1131,283,295,50512
36398,2461,693,1122,280,293,50650
36206,2445,689,1114,277,291,50783
36017,2431,684,1106,275,289,50911
35834,2417,680,1098,273,286,51033
35657,2402,676,1091,271,284,51148
35485,2387,671,1085,269,282,51258
35319,2374,667,1077,267,280,51362
35156,2362,662,1070,265,278,51462
34998,2349,660,1063,264,275,51556
34846,2337,657,1056,262,274,51643
34697,2325,654,1049,260,273,51727
34553,2313,651,1043,258,272,51806
34412,2302,647,1038,257,270,51881
34274,2291,645,1033,255,268,51953
34141,2282,642,1027,253,266,52020
34011,2273,639,1022,251,265,52081
33883,2264,636,1017,249,264,52140
33761,2254,634,1012,247,262,52195
33641,2244,631,1008,245,261,52247
33524,2235,628,1003,244,259,52296
33409,2226,625,999,243,258,52341
33298,2217,622,997,242,257,52383
33191,2207,620,994,241,255,52423
33087,2198,617,991,239,255,52459
32985,2191,614,987,238,254,52492
32886,2184,611,983,237,253,52523
32790,2176,610,979,236,251,52550
32696,2168,608,976,235,250,52574
32604,2160,606,972,234,249,52597
32512,2153,604,968,233,248,52619
32423,2146,601,965,233,246,52638
32337,2140,598,961,233,245,52654
32253,2134,597,957,232,243,52668
32171,2127,596,954,230,243,52679
32091,2120,595,951,228,243,52688
32013,2113,593,949,226,243,52695
31935,2107,591,946,225,242,52702
31861,2101,588,944,224,241,52706
31789,2094,586,941,223,240,52709
31719,2089,585,937,222,238,52709
31649,2085,583,934,221,237,52707
31581,2080,582,931,220,236,52703
31515,2075,580,929,219,235,52697
31448,2070,579,926,219,234,52691
31384,2065,577,924,219,233,52683
31322,2060,575,921,218,233,52674
31260,2055,574,918,217,233,52664
31200,2050,573,916,216,232,52652
31140,2045,572,914,215,231,52640
31082,2041,571,911,214,231,52625
31026,2037,569,909,213,231,52608
30970,2033,568,906,213,230,52591
30916,2029,566,904,213,229,52573
30862,2025,565,901,213,228,52555
30810,2020,564,899,213,227,52535
30758,2016,562,898,213,227,52513
30708,2012,561,896,213,226,52490
30657,2008,560,894,213,225,52469
30608,2004,559,892,213,224,52446
30559,2000,558,890,213,223,52423
30512,1995,557,889,213,223,52397
30464,1995,556,886,213,223,52371
30419,1994,555,884,213,223,52343
30374,1993,554,882,213,223,52315
30331,1991,554,880,213,223,52285
30287,1990,553,878,213,223,52256
30245,1988,552,877,213,223,52225
30203,1986,551,876,213,223,52194
30160,1984,551,874,213,223,52164
30119,1981,551,873,213,223,52132
30078,1979,550,872,213,223,52100
30039,1976,549,871,213,223,52067
29999,1973,550,871,212,222,52034
29962,1970,548,871,211,223,52000
29925,1967,549,870,210,222,51966
29887,1964,549,870,208,222,51934
29851,1961,548,870,206,222,51901
29815,1958,548,869,205,221,51868
29778,1956,547,868,204,220,51836
29743,1953,546,867,203,219,51803
29708,1950,545,867,202,219,51768
29672,1947,545,866,201,219,51734
29638,1945,544,864,200,219,51699
29603,1943,543,862,199,219,51665
29568,1941,542,861,199,218,51630
29535,1939,541,859,199,217,51594
29501,1937,540,858,199,216,51558
29467,1935,539,857,199,215,51522
29436,1932,539,855,199,215,51484
29404,1930,538,854,199,215,51447
29372,1928,537,853,199,215,51410
29342,1925,537,852,199,214,51372
29311,1922,537,851,199,213,51335
29280,1920,536,851,199,212,51297
29250,1917,536,850,199,211,51259
29220,1914,536,849,198,212,51220
29190,1912,535,848,198,211,51182
29161,1909,534,847,197,212,51143
29132,1906,533,847,197,211,51104
29103,1904,532,846,196,212,51064
29073,1902,531,845,196,211,51026
29045,1899,530,844,195,212,50986
29016,1899,529,841,195,211,50948
28987,1899,528,839,194,212,50908
28961,1898,527,838,194,211,50867
28934,1897,527,836,193,212,50826
28907,1896,527,834,194,210,50786
28879,1895,527,833,193,211,50745
28853,1893,527,832,193,211,50703
28827,1891,527,831,193,211,50661
28800,1890,526,831,193,211,50619
28773,1889,525,831,193,211,50577
28747,1887,524,831,193,211,50535
28721,1885,525,830,193,210,50493
28694,1883,524,830,193,210,50453
28669,1881,524,829,193,209,50412
28644,1879,524,828,193,208,50371
28618,1877,524,827,193,207,50331
28592,1875,524,827,193,207,50289
28567,1872,524,827,193,207,50247
28542,1870,523,827,193,207,50205
28517,1868,522,827,193,207,50163
28491,1866,521,827,193,207,50122
28468,1864,520,826,193,207,50080
28444,1862,519,825,193,207,50039
28420,1860,518,824,193,207,49998
28395,1858,518,822,193,207,49959
28372,1856,517,821,193,207,49918
28349,1854,516,820,193,207,49877
28325,1852,515,819,193,207,49837
28301,1850,515,818,193,207,49796
28276,1848,515,817,193,207,49756
28253,1847,514,815,193,207,49715
28230,1846,513,814,193,207,49673
28206,1845,512,813,193,207,49632
28182,1844,513,811,193,206,49591
28159,1842,512,811,193,206,49549
28136,1840,513,810,193,205,49507
28113,1839,511,810,193,205,49465
28089,1838,511,809,193,204,49425
28067,1836,511,808,193,203,49384
28044,1834,511,807,193,203,49343
28021,1832,511,807,193,203,49301
27998,1831,510,807,193,203,49259
27977,1829,509,807,193,203,49217
27956,1827,509,806,193,203,49175
27934,1825,509,805,193,203,49134
27912,1823,509,804,193,203,49093
27889,1822,508,803,193,203,49053
27868,1820,507,803,193,203,49011
27847,1818,506,803,193,203,48969
27825,1816,506,802,193,203,48929
27803,1815,505,801,193,203,48889
27780,1814,504,800,193,203,48850
27759,1812,503,799,193,203,48810
27738,1810,503,798,193,203,48769
27716,1808,503,797,193,203,48729
27694,1807,502,796,193,203,48689
27673,1805,501,795,193,203,48649
27652,1803,500,795,193,203,48608
27631,1801,499,795,193,203,48567
27609,1799,502,794,192,202,48527
27587,1800,500,793,192,202,48486
27566,1797,499,793,192,202,48447
27545,1797,501,791,191,201,48407
27524,1797,499,791,191,201,48366
27502,1797,501,790,190,200,48326
27480,1797,499,790,190,200,48286
27460,1796,501,789,189,199,48246
27440,1795,499,789,188,201,48205
27420,1794,501,788,187,200,48165
27399,1793,499,788,187,200,48126
27380,1791,501,787,186,199,48086
27360,1790,498,788,186,200,48045
27340,1789,499,787,186,198,48006
27320,1788,500,787,185,198,47965
27299,1787,497,788,185,199,47926
27280,1785,498,787,184,199,47887
27260,1783,499,787,183,199,47848
27240,1782,499,787,182,199,47809
27220,1781,499,787,181,199,47770
27199,1780,499,787,180,199,47732
27180,1778,499,787,179,199,47693
27160,1776,499,787,179,198,47655
27140,1774,499,787,179,197,47617
27120,1773,498,787,179,196,47579
27099,1772,497,787,179,195,47542
27080,1770,496,787,179,195,47503
27061,1768,496,786,179,195,47464
27041,1766,496,785,179,195,47427
27021,1765,495,784,179,195,47390
27000,1764,494,783,179,195,47354
26979,1763,493,783,179,195,47317
26961,1761,493,782,179,195,47279
26942,1759,493,781,179,195,47242
26923,1757,493,780,179,195,47205
26904,1756,492,779,179,195,47168
26884,1755,491,779,179,195,47131
26866,1753,490,779,179,195,47093
26847,1751,490,778,179,195,47056
26828,1749,490,777,179,195,47019
26809,1749,489,775,179,195,46982
26789,1749,488,774,179,195,46946
26771,1748,487,773,179,195,46909
26753,1747,488,771,179,194,46872
26734,1746,487,771,179,194,46835
26715,1745,488,770,179,193,46798
26695,1744,487,770,179,193,46762
26677,1742,488,769,179,192,46725
26659,1740,487,769,179,192,46688
26640,1739,487,768,179,191,46652
26621,1738,487,767,179,191,46615
26602,1737,487,767,179,191,46577
26582,1736,487,767,179,191,46540
26564,1734,487,767,179,191,46502
26546,1732,487,767,179,191,46464
26527,1731,486,767,179,191,46428
26508,1730,485,767,179,191,46392
26488,1729,484,767,179,191,46357
26471,1727,484,766,179,191,46321
26454,1725,484,765,179,191,46285
26436,1723,484,764,179,191,46250
26418,1722,483,763,179,191,46215
26400,1721,482,763,179,191,46179
